地区,南昌市,景德镇市,萍乡市,九江市,新余市,鹰潭市,赣州市,吉安市,宜春市,抚州市,上饶市
生产总值,4000.01,772.06,912.39,1902.68,946.8,639.26,1973.87,1328.52,1621.02,1105.14,1650.81
第一产业,171.26,57.22,62.83,140.75,55.95,49.4,295.56,217.4,236.04,181.81,222.8
第二产业,2179.96,437.58,517.29,1014.59,527.93,379.57,870.46,657.23,838.6,549.3,803.38
工业,1619.5,383.59,464.21,854.28,460.13,347.49,735.99,555.52,743.62,449.9,661.1
建筑业,560.46,53.99,53.08,160.3,67.8,32.09,134.47,101.71,94.99,99.4,142.28
第三产业,1648.79,277.25,332.27,747.34,362.92,210.29,807.85,453.89,546.38,374.02,624.62
交通,161.93,41.26,47.55,96.63,56.59,36.17,96.45,57.01,62.42,67.25,68.71
零售餐饮,343.68,84.56,94.03,212.48,112.32,53.96,150.37,109.07,144.06,81.11,180.35
金融,298.34,18.06,25.79,53.19,38.86,31.83,103.21,48.82,67.97,17.55,46.33
人均gdp,75879,47216,48133,39505,81354,55568,23148,27168,29457,27735,24633
gdp-劳动报酬,1688.92,349.05,286.6,712.3,330.37,204.48,953.18,659.14,792.5,539.63,936.53
gdp-固定资产折现,563.41,114.5,132.43,260.8,102.98,102.71,290.64,152.54,295.99,181.25,205.95
gdp-生产税,611.33,117.06,107.61,294.47,268.11,177.29,149.42,210.24,245.81,206.89,180.76
gdp营业盈余,1136.35,191.45,385.76,635.11,245.34,154.79,580.63,306.6,286.72,177.36,327.57
最终消费,2112.25,396.84,359.93,917.53,412.86,258.85,1459.23,683.66,805.65,413.71,844.96
居民消费,1924.34,297.63,244.7,710.24,260.71,187.63,1191.24,518.3,625.18,324.58,765.96
农村居民消费,617.73,78.67,93.02,240.02,46.43,57.19,425.73,162.51,296.96,154.45,480.61
城镇居民消费,1306.6,218.95,151.68,470.22,214.28,130.45,765.5,355.79,328.22,170.13,285.35
政府支出,187.91,99.21,115.23,207.29,152.15,71.22,268,165.36,180.47,89.14,79
自然保护区个数,9,8,4,42,3,4,53,33,27,26,26
自然保护区面积,120.44,49.5,16.42,215.34,2.73,15.24,260.54,106.18,74.47,142.12,185.42
自然保护区占辖区面积比重,16.27,9.43,4.29,11.44,0.86,4.29,6.62,4.2,3.99,7.6,8.14
